Density Matrices

state: 0.0     eng: 0.0     s(s+1): 3.6256     ms: 1.4496
-0.003015+0.002853j	-0.022755-0.004952j	-0.000693-0.000335j	-0.002347+0.013530j	0.000159+0.000131j	0.971602	 -0.000374+0.001712j	-0.005159-0.123663j	0.002634-0.000145j	0.000416-0.003070j	-0.030453+0.000204j	0.008277+0.021197j	0.002086+0.001585j	0.000063+0.000298j	
-0.000341-0.000020j	0.000193-0.001380j	0.001785-0.013537j	-0.000689+0.000022j	-0.002809+0.000245j	-0.000374-0.001712j	0.958957	 0.006187-0.001290j	0.004644+0.047764j	0.036417-0.006441j	0.000216+0.001845j	-0.000356-0.001245j	-0.026986+0.066905j	0.009904-0.007483j	
0.030894+0.019713j	-0.024795+0.111337j	-0.000321+0.001350j	0.032326+0.008197j	0.000069-0.000858j	-0.005159+0.123663j	0.006187+0.001290j	0.380611	 0.000509-0.013389j	-0.007459+0.000149j	0.023467+0.007726j	0.073849+0.090416j	0.005539-0.008671j	0.003116-0.000494j	
-0.000158-0.001478j	0.002774+0.000736j	0.006051+0.005915j	0.001210-0.000553j	-0.018039-0.010975j	0.002634+0.000145j	0.004644-0.047764j	0.000509+0.013389j	0.885582	 -0.008739+0.051903j	-0.009101+0.002377j	0.007084-0.003137j	-0.060030-0.040901j	0.024365-0.040614j	
-0.000141+0.000524j	-0.001082+0.001331j	-0.028399+0.097675j	0.005270+0.001027j	-0.002705-0.003795j	0.000416+0.003070j	0.036417+0.006441j	-0.007459-0.000149j	-0.008739-0.051903j	0.656212	 -0.002224+0.007797j	0.005603-0.011867j	0.025364+0.160393j	-0.112829-0.047363j	
-0.001631-0.129445j	0.003659-0.006802j	0.000814+0.000320j	0.006877+0.045039j	0.006932+0.000655j	-0.030453-0.000204j	0.000216-0.001845j	0.023467-0.007726j	-0.009101-0.002377j	-0.002224-0.007797j	0.434408	 0.137455+0.006865j	-0.003899+0.002917j	-0.000954+0.015819j	
-0.006974-0.032153j	-0.022542-0.004088j	0.004921-0.000400j	-0.021042-0.087771j	0.000245+0.000119j	0.008277-0.021197j	-0.000356+0.001245j	0.073849-0.090416j	0.007084+0.003137j	0.005603+0.011867j	0.137455-0.006865j	0.605163	 0.006463-0.002933j	0.000021+0.006034j	
0.000257-0.000105j	0.002547-0.000734j	-0.032194-0.021542j	-0.001575+0.000782j	-0.013346-0.002007j	0.002086-0.001585j	-0.026986-0.066905j	0.005539+0.008671j	-0.060030+0.040901j	0.025364-0.160393j	-0.003899-0.002917j	0.006463+0.002933j	0.695630	 0.039686-0.097238j	
0.005628-0.000005j	0.000271-0.000370j	-0.001950+0.076402j	0.000213-0.000038j	-0.001944+0.111239j	0.000063-0.000298j	0.009904+0.007483j	0.003116+0.000494j	0.024365+0.040614j	-0.112829+0.047363j	-0.000954-0.015819j	0.000021-0.006034j	0.039686+0.097238j	0.588573	 

